Nummer,Jahr,Technik,Format,Ausrichtung,Darstellungsformen,Gegenständlich/Ungegenständlich,Motiv,Serie,Helligkeit,Farbigkeit,Paraphrasen,Bildsprache,Titel,Standort,Zus'arbeit,Bildqualität,Bemerkungen,Nummer
3573,a2014,Mt B T Fs  ,21x30,breit, ,UnG,AP FigG P  LdA,,H3,gr,ParPC,,"""La lutte d'amour"" d'après Paul Cézanne",iBdK,,,,3573
3574,a2011,zT B Ac   ,21x30,breit, ,UoG,AP FigG P  LdA,,H4,gr,ParPC,,"""La lutte d'amour"" d'après Paul Cézanne",iBdK,,,,3574
3575,a2012,Mt Aq T B  ,21x30,breit, ,UoG,AP FigG P  LdA,,H3,cf,ParPC,waa,"""La lutte d'amour"" d'après Paul Cézanne",iBdK,,,,3575
3576,a2012,Mt Ac B Lk  ,21x30,breit, ,U,LdA   ,,H3,gr,ParPC,,"""La lutte d'amour"" d'après Paul Cézanne",iBdK,,,,3576
3577,a2012,Mt Dd Ac T B ,21x30,breit, ,U,Lda Sch  ,,H2,gr,ParPC,,"""La lutte d'amour"" d'après Paul Cézanne",iBdK,,,,3577
3578,a2011,zT Dd G   ,21x30,breit,Lst ,UnG,AP FigG P  LdA,,H2,gr,ParPC,,"""La lutte d'amour"" d'après Paul Cézanne",iBdK,,,Tie,3578
3579,a2011,zT T C   ,21x30,breit, ,Gs,AP FigG P  LdA,,H2,gr,ParPC,waa,"""La lutte d'amour"" d'après Paul Cézanne",iBdK,,,,3579
3580,a2014,Mt Dd B Ac  ,21x30,breit, ,UoG,AP FigG P  LdA,,H3,gr,ParPC,,"""La lutte d'amour"" d'après Paul Cézanne",iBdK,,,,3580
3581,a2011,zT Ac B   ,21x30,breit,Gi ,U,LdA   ,,H4,gr,ParPC,,"""La lutte d'amour"" d'après Paul Cézanne",iBdK,,,,3581
3582,a2012,Mt Dd G Ac  ,21x30,breit, ,U,LdA   ,,H3,gr,ParPC,,"""La lutte d'amour"" d'après Paul Cézanne",iBdK,,,,3582
3583,a2011,Mt T Ac B  ,21x30,breit, ,UoG,AP FigG P  LdA,,H3,gr,ParPC,,"""La lutte d'amour"" d'après Paul Cézanne",iBdK,,,,3583
3584,a2012,zT Dd Fal   ,21x30,breit,Lst ,UnG,AP FigG P  LdA,,H1,gr,ParPC,,"""La lutte d'amour"" d'après Paul Cézanne",iBdK,,,,3584
3585,a2017,zT B Opl   ,21x30,breit, ,U,LdA   ,,H2,gr,ParPC,,"""La lutte d'amour"" d'après Paul Cézanne",iBdK,,,,3585
3586,a2017,Mt B T C  ,21x30,breit, ,U,LdA   ,,H3,gr,ParPC,,"""La lutte d'amour"" d'après Paul Cézanne",iBdK,,,,3586
3587,a1989,Ks     ,8x11,breit, ,U,EzR   ,,H2,c,,,,iBdK,,,auf weissen Halbkarton 15x21cm aufgezogen,3587
3588,a1989,Ks     ,7x10,breit, ,U,EzR   ,,H2,c,,,,iBdK,,,auf weissen Halbkarton 15x21cm aufgezogen,3588
3589,a1989,Ks     ,7x10,breit, ,U,EzR   ,,H3,c,,,,iBdK,,,auf weissen Halbkarton 15x21cm aufgezogen,3589
3590,a1989,B     ,4x5,breit, ,U,EzR   ,,H2,gr,,,,iBdK,,,auf weissen Halbkarton 15x21cm aufgezogen,3590
3591,a1989,B     ,5x7,breit, ,U,EzR   ,,H3,gr,,,,iBdK,,,auf weissen Halbkarton 15x21cm aufgezogen,3591
3592,a1989,B     ,8x9,breit, ,U,EzR   ,,H3,gr,,,,iBdK,,,auf weissen Halbkarton 15x21cm aufgezogen,3592
3593,a1989,B     ,5x8,breit, ,U,EzR   ,,H3,gr,,,,iBdK,,,auf weissen Halbkarton 15x21cm aufgezogen,3593
3594,a1989,B     ,5x7,breit, ,U,EzR   ,,H2,gr,,,,iBdK,,,auf weissen Halbkarton 15x21cm aufgezogen,3594
3595,a1989,B     ,7x11,breit, ,U,Sch EzR  ,,H3,gr,,,PANTHEON,iBdK,,,auf weissen Halbkarton 15x21cm aufgezogen,3595
3596,a1989,B     ,6x10,breit, ,U,EzR   ,,H3,gr,,,,iBdK,,,auf weissen Halbkarton 15x21cm aufgezogen,3596
3597,a2010,Mt Ac B Kl  ,20x28,breit, ,U,Sch   ,JJ,H2,gr,Par7a,,kleine Notiz zu Jasper Johns (I),iBdK,,,Zweiergruppe,3597
3598,a2010,Mt Ac B Kl  ,20x28,breit, ,U,Sch   ,JJ,H2,gr,Par7a,,kleine Notiz zu Jasper Johns (II),iBdK,,,Zweiergruppe,3598
3599,a2017,Mt Aq T B  ,15x11,hoch,Gi ,U,   ,,H4,gr,Par4,,"frei nach Raffaels ""Liberazione di San Pietro""",iBdK,,,,3599
3600,a2014,Mt B Fa T  ,21x26,breit, ,U,   ,,H1,gr,Par7a,,"nach Kupkas ""Cosmic Spring""",iBdK,,,,3600
3601,a2012,Mt B T Fs  ,19x25,breit, ,UoG,FigG   ,,H2,gr,ParPK,,Uebungen (nach Paul Klee),iBdK,,,,3601
3602,a2017,Mt Fa T B  ,28x21,hoch, ,UoG,   ,,H2,v,ParPK,,Zeichnung zum Bacchanten von Paul Klee,iBdK,,,,3602
3603,a2014,Mt B Dd Fa G ,21x30,breit,Lwi ,U,   ,,H3,gr,Par4,,"frei nach Martin Altomantes' ""Alexander cutting the Gordion Knot""",iBdK,,,Pk,3603
3604,a1984,Mt B Dp R T ,20x19,hoch, ,Gs,Ti O  ,,H2,gr,,,,iBdK,,,,3604
3605,a1983,G     ,34x39,breit, ,UoG,Ec   ,,H3,cf,,,,iBdK,,,,3605
3606,a1983,G     ,42x36,hoch, ,Gs,O Pf Ec ,,H3,cf,,,,iBdK,,,,3606
3607,a1984,G     ,36x40,breit, ,UnG,bb Pf Ec  ,,H3,cf,,,,iBdK,,,,3607
3608,a1984,G     ,33x38,breit, ,UoG,Ec    ,,H2,cf,,,,iBdK,,,,3608
3609,a1984,G     ,34x37,breit, ,Gs,F   ,,H2,cf,,,,iBdK,,,,3609
3610,a1984,G     ,35x42,breit, ,Gs,Pf Sch So Sta,,H3,cf,,waa,,iBdK,,,,3610
3611,a2003,G     ,24x32,breit, ,UoG,   ,,H3,cf,,,,iBdK,,,,3611
3612,a1985,G     ,33x38,breit, ,UoG,   ,,H3,cf,,,,iBdK,,,,3612
3613,a1985,G     ,31x41,breit, ,Gs,Ti O  ,,H3,cf,,sti,,iBdK,,,,3613
3614,a1985,G     ,35x41,breit, ,UoG,Ti   ,,H3,c,,,,iBdK,,,,3614
3615,a1986,G     ,37x30,hoch, ,Gs,Pf   ,,H2,gr,,,,iBdK,,,,3615
3616,a1988,G     ,35x42,breit,RiK ,UoG,L   ,,H4,g,,kre,,iBdK,,,,3616
3617,a1988,G     ,33x38,breit,RiK ,U,   ,,H3,b ,,,,iBdK,,,,3617
3618,a1987,G     ,35x45,breit, ,U,   ,,H3,b ,,,,iBdK,,,,3618
3619,a1984,G     ,38x34,hoch, ,Gs,Vo   ,,H3,g ,,,,iBdK,,,,3619
3620,a1983,G     ,28x39,breit, ,Gs,Vo   ,,H4,cf,,sko,,iBdK,,,,3620
3621,a1983,G     ,29x40,breit, ,Gs,Vo   ,,H4,cf,,,,iBdK,,,,3621
3622,a1983,G     ,28x40,breit, ,Gs,Vo bb  ,,H3,cf,,,,iBdK,,,,3622
3623,a1985,G     ,33x38,breit, ,UoG,Ti Pf  ,,H4,c,,,,iBdK,,,,3623
3624,a1991,G     ,25x29,breit,RiK ,U,   ,,H4,b,,,,iBdK,,,,3624
3625,a1991,G     ,32x43,breit, ,U,   ,,H1,m,,,,iBdK,,,,3625
3626,a1988,zT G Pm   ,31x42,breit, ,U,   ,,H3,b,,,,iBdK,,,,3626
3627,a1990,zT G Pm   ,31x38,breit,RiK ,U,   ,,H3,b,,,,iBdK,,,,3627
3628,a2007,zT B Fa   ,27x40,breit, ,U,   ,,H1,gr,Kr8,fis,meine Tunixreise,iBdK,,,,3628
3629,a2012,G     ,28x21,hoch,Ul ,UnG,L Gi  ,WG23,H3,gr,ParFV,,"La grève blanche, Vasouy (d'après Félix Vallotton)",iBdK,,,,3629
3630,a2012,G     ,33x21,hoch,Ul ,UnG,L Gi  ,WG23,H3,gr,ParFV,,La charrette (d'après Félix Vallotton),iBdK,,,,3630
3631,a2012,G     ,30x28,hoch,Ul ,UnG,L Gi  ,WG23,H4,gr,ParFV,,La Dordogne à Beynac (d'après Félix Vallotton),iBdK,,,,3631
3632,a2012,G     ,32x24,hoch,Ul ,UnG,L Gi  ,WG23,H3,gr,ParFV,,La pluie (d'après Félix Vallotton),iBdK,,,,3632
3633,a2013,zT B Ac   ,32x24,hoch, ,UoG,AP   ,WG12,H1,gr,ParFV,ste,Nus (d'après Félix Vallotton),iBdK,,,,3633
3634,a2013,zT B Ac   ,32x24,hoch, ,UoG,AP   ,WG12,H2,gr,ParFV,ste,Nus (d'après Félix Vallotton),iBdK,,,,3634
3635,a2013,zT B Ac   ,32x24,hoch, ,UoG,AP   ,WG12,H2,gr,ParFV,ste,Nus (d'après Félix Vallotton),iBdK,,,,3635
3636,a2013,zT B Ac   ,32x24,hoch, ,UoG,AP   ,WG12,H3,gr,ParFV,ste,Nus (d'après Félix Vallotton),iBdK,,,,3636
3637,a2013,zT B Ac   ,32x24,hoch, ,UoG,AP   ,WG12,H2,gr,ParFV,ste,Nus (d'après Félix Vallotton),iBdK,,,,3637
3638,a2013,zT B Ac   ,32x24,hoch, ,UoG,AP   ,WG12,H2,gr,ParFV,ste,Nus (d'après Félix Vallotton),iBdK,,,,3638
3639,a2013,zT B Ac   ,32x24,hoch, ,UoG,AP   ,WG12,H2,gr,ParFV,ste,Nus (d'après Félix Vallotton),iBdK,,,,3639
3640,a2013,zT B Ac   ,32x24,hoch, ,UoG,AP   ,WG12,H2,gr,ParFV,ste,Nus (d'après Félix Vallotton),iBdK,,,,3640
3641,a2013,zT B Ac   ,32x24,hoch, ,UoG,AP   ,WG12,H2,gr,ParFV,ste,Nus (d'après Félix Vallotton),iBdK,,,,3641
3642,a2013,zT B Ac   ,32x24,hoch, ,UoG,AP   ,WG12,H1,gr,ParFV,ste,Nus (d'après Félix Vallotton),iBdK,,,,3642
3643,a2013,zT B Ac   ,32x24,hoch, ,UoG,AP   ,WG12,H1,gr,ParFV,ste,Nus (d'après Félix Vallotton),iBdK,,,,3643
3644,a2014,OPa      ,24x32,breit,Ul ,UoG,BiB L  ,WG38,H2,gr,ParFV,ste,"D'après ""Félix Vallotton: Les paysages de l'émotion""",iBdK,,,,3644
3645,a2014,OPa      ,24x32,breit,Ul ,UoG,BiB L  ,WG38,H2,gr,ParFV,ste,"D'après ""Félix Vallotton: Les paysages de l'émotion""",iBdK,,,,3645
3646,a2014,OPa      ,24x32,breit,Ul ,UoG,BiB L  ,WG38,H2,gr,ParFV,ste,"D'après ""Félix Vallotton: Les paysages de l'émotion""",iBdK,,,,3646
3647,a2014,zT G B   ,31x36,breit, ,Gs,F O St ,WG17,H4,gr,ParFV,,"""Stillleben: Apfel, Birnen, Tomaten, Eier ..."" (nach Félix Vallotton)",iBdK,,,,3647
3648,a2014,zT G B   ,39x33,hoch, ,Gs,F O St ,WG17,H4,gr,ParFV,,Nature morte à a jarre de terre (d'après Félix Vallotton),iBdK,,,,3648
3649,a2014,zT G B   ,32x41,breit, ,Gs,F  O St ,WG17,H4,gr,ParFV,3816,Nature morte sur une serviette à carreaux bleus (d'après Félix Vallotton),iBdK,,,,3649
3650,a2014,Mt G Hpf C Bst ,24x32,breit, ,UnG,AP O  ,WG25,H4,cf,ParFV,,Le sommeil (d'après Félix Vallotton),iBdK,,,,3650
3651,a2014,Mt G Hpf C Bst ,24x32,breit, ,UnG,AP O  ,WG25,H4,cf,ParFV,,Femme couchée (d'après Félix Vallotton),iBdK,,,,3651
3652,a2014,Mt G Hpf C Bst ,24x32,breit, ,UnG,AP O  ,WG25,H4,cf,ParFV,,Femme couchée sur fond violet (d'après Félix Vallotton),iBdK,,,,3652
3653,a2014,Mt G Hpf C Bst ,24x32,breit, ,UnG,AP O  ,WG25,H4,cf,ParFV,,La réussite (d'après Félix Vallotton),iBdK,,,,3653
3654,a2014,Mt G Hpf C Bst ,24x32,breit, ,UnG,AP   ,WG25,H4,cf,ParFV,,La source (d'après Félix Vallotton),iBdK,,,,3654
3655,a2014,T     ,30x35,breit, ,UoG,FigG Ti O ,WG20,H2,bw,ParFV,ste,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3655
3656,a2014,B     ,30x35,breit, ,UoG,FigG   ,WG20,H1,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3656
3657,a2014,B     ,30x35,breit, ,Gs,Ti O  ,WG20,H2,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3657
3658,a2014,B     ,30x35,breit, ,Gs,FigG Ti bb ,WG20,H1,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3658
3659,a2014,G     ,30x35,breit, ,UoG,mF Ti O ,WG20,H2,bw,ParFV,ste,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3659
3660,a2014,Mt B T Ac  ,30x35,breit, ,Gs,FigG   ,WG20,H3,gr,ParFV,sko,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3660
3661,a2014,B     ,30x35,breit, ,UoG,FigG   ,WG20,H2,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3661
3662,a2014,B     ,30x35,breit, ,Gs,Ti   ,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3662
3663,a2014,Mt B Fa G  ,30x35,breit,Gi ,Gs,P   ,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3663
3664,a2014,Mt B Fa Lk  ,30x35,breit, ,Gs,FigG Ti O ,WG20,H2,gr,ParFV,waa,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3664
3665,a2014,zT B Fa   ,30x35,breit, ,Gs,P Ti  ,WG20,H3,cf,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3665
3666,a2014,zT B Ac   ,30x35,breit, ,Gs,mF   ,WG20,H1,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3666
3667,a2014,zT Fa Fs   ,30x35,breit, ,U,   ,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3667
3668,a2014,B      ,30x35,breit, ,Gs,Ri Sb Ti ,WG20,H2,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3668
3669,a2014,zT B Fs   ,30x35,breit,Lst ,UnG,FigG Ti  ,WG20,H1,gr,ParFV,was,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3669
3670,a2014,Mt B T Lk G ,30x35,breit, ,UoG, Ti  ,WG20,H3,gr,ParFV,ste,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3670
3671,a2014,zT B Lk   ,30x35,breit, ,UoG,mF   ,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3671
3672,a2014,G     ,30x35,breit, ,UoG,FigG Ti  ,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3672
3673,a2014,B     ,30x35,breit, ,U,   ,WG20,H1,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3673
3674,a2014,B     ,30x35,breit, ,Gs,FigG Ti O ,WG20,H3,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3674
3675,a2014,B     ,30x35,breit, ,UoG,FigG   ,WG20,H1,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3675
3676,a2014,zT B T   ,30x35,breit, ,Gs,Ti O  ,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3676
3677,a2014,zT Ac Sc   ,30x35,breit, ,Gs,P   ,WG20,H3,bw,ParFV,sko,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3677
3678,a2014,Ko      ,30x35,breit,Ul ,Gs,FigG   ,WG20,H1,bw,ParFV,jun,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3678
3679,a2014,zT B G   ,30x35,breit, ,UoG,P Ti  ,WG20,H3,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3679
3680,a2014,B      ,30x35,breit, ,U,    ,WG20,H2,bw,ParFV,ste,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3680
3681,a2014,zT B T   ,30x35,breit, ,UoG,Ti   ,WG20,H1,gr,ParFV,kre,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3681
3682,a2014,zT B T   ,30x35,breit,Lst ,UnG,FigG   ,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3682
3683,a2014,B      ,30x35,breit, ,UoG,FigG Ti O ,WG20,H1,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3683
3684,a2014,zT B T   ,30x35,breit, ,UoG,FigG Ti O ,WG20,H3,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3684
3685,a2014,zT B Fa   ,30x35,breit, ,Gs,Ti Pf  ,WG20,H1,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3685
3686,a2014,zT B G   ,30x35,breit, ,U,    ,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3686
3687,a2014,zT B G   ,30x35,breit, ,UoG,FigG O  ,WG20,H3,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3687
3688,a2014,B      ,30x35,breit, ,U,FigG Ti  ,WG20,H1,bw,ParFV,ste,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3688
3689,a2014,Mt B G T  ,30x35,breit, ,UoG,O   ,WG20,H3,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3689
3690,a2014,zT B T   ,30x35,breit,Lst ,U,FigG   ,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3690
3691,a2014,B     ,31x35,breit, ,Gs,FigG Ti O ,WG20,H2,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3691
3692,a2014,B     ,31x35,breit, ,Gs,Ri Ti  ,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3692
3693,a2014,Mt B Fa T  ,31x35,breit, ,UoG,FigG Ti O ,WG20,H3,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3693
3694,a2014,zT B Fs   ,31x35,breit,Ul ,Gs,FigG Ti Ri  ,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3694
3695,a2014,B     ,31x35,breit,Lst ,UoG,mF   ,WG20,H3,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3695
3696,a2014,B     ,31x35,breit,Ul ,U,   ,WG20,H1,bw,ParFV,zwi,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3696
3697,a2014,B     ,31x35,breit, ,UoG,Ti   ,WG20,H2,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3697
3698,a2014,B     ,31x35,breit,Ul ,UoG,FigG   ,WG20,H1,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3698
3699,a2014,Mt B T Fa  ,31x35,breit, ,Gs,FigG Ti  ,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3699
3700,a2014,B     ,31x35,breit, ,Gs,Ri Ti Sb ,WG20,H1,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3700
3701,a2014,B     ,31x35,breit,Ul ,Gs,P   ,WG20,H1,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3701
3702,a2014,T     ,31x35,breit, ,Gs,P Ti  ,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3702
3703,a2014,B     ,31x35,breit, ,Gs,Ri Ti O ,WG20,H1,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3703
3704,a2014,zT B T   ,31x35,breit, ,U,   ,WG20,H3,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3704
3705,a2014,zT Ko B   ,31x35,breit,Ul ,Gs,FigG   ,WG20,H1,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3705
3706,a2014,Mt B Fa Fs  ,31x35,breit,Lwi ,U,   ,WG20,H1,gr,ParFV,was,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3706
3707,a2014,Mt T G B  ,31x35,breit, ,Gs,P   ,WG20,H3,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3707
3708,a2014,Mt Ac Sc C  ,31x35,breit, ,U,mF   ,WG20,H3,gr,ParFV,sko,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3708
3709,a2014,Ac      ,31x35,breit, ,UoG,FigG Ti  ,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3709
3710,a2014,zT B G   ,31x35,breit, ,U,   ,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3710
3711,a2014,Mt B Fa G  ,31x35,breit, ,UoG,Ti   ,WG20,H3,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3711
3712,a2014,zT B G   ,31x35,breit, ,UoG,mF   ,WG20,H1,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3712
3713,a2014,B      ,31x35,breit, ,UoG,FigG   ,WG20,H1,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3713
3714,a2014,zT B T   ,31x35,breit,Gi ,Gs,mF   ,WG20,H3,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3714
3715,a2014,zT B Fs   ,31x35,breit, ,U,    ,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3715
3716,a2014,Mt B T Opl  ,31x35,breit, ,UoG,FigG Ti O ,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3716
3717,a2014,zT B G   ,31x35,breit, ,UnG,mF   ,WG20,H1,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3717
3718,a2014,Mt B T G  ,31x35,breit, ,Gs,mF Ti  ,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3718
3719,a2014,zT B Opl   ,31x35,breit, ,UoG,Ti    ,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3719
3720,a2014,zT B G   ,31x35,breit, ,Gs,mF   ,WG20,H1,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,,,,3720
3721,a2014,zT T C   ,49x32,hoch, ,UoG,AP   ,WG16,H3,bw,ParFV,ste,Badende (nach Félix Vallotton),iBdK,,,,3721
3722,a2014,zT T C   ,48x31,hoch, ,UoG,AP   ,WG16,H4,bw,ParFV,ste,Badende (nach Félix Vallotton),iBdK,,,,3722
3723,a2014,zT T C   ,49x31,hoch, ,UoG,AP   ,WG16,H3,bw,ParFV,ste,Badende (nach Félix Vallotton),iBdK,,,,3723
3724,a2014,zT T C   ,46x32,hoch, ,UoG,AP   ,WG16,H3,bw,ParFV,ste,Badende (nach Félix Vallotton),iBdK,,,,3724
3725,a2014,zT T C   ,48x33,hoch, ,UoG,AP   ,WG16,H3,bw,ParFV,ste,Badende (nach Félix Vallotton),iBdK,,,,3725
3726,a2014,zT T C   ,47x31,hoch, ,UoG,AP   ,WG16,H2,bw,ParFV,ste,Badende (nach Félix Vallotton),iBdK,,,,3726
3727,a2014,zT T C   ,48x26,hoch, ,UoG,AP   ,WG16,H4,bw,ParFV,ste,Badende (nach Félix Vallotton),iBdK,,,,3727
3728,a1983,G     ,45x38,hoch, ,Gs,bb Pf O Ec,,H2,cf,,,composición agrotropical,iBdK,,,,3728
3729,a1983,G     ,50x42,hoch, ,Gs,Vo Sch  ,,H3,cf,,,,iBdK,,,,3729
3730,a1983,G     ,42x52,breit, ,UnG,A   ,,H3,c,,,,iBdK,,,,3730
3731,a1984,G     ,42x47,breit, ,Gs,O   ,,H2,cf,,,,iBdK,,,,3731
3732,a1985,G     ,39x50,breit, ,UoG,Ti St  ,,H3,c,,sch,,iBdK,,,,3732
3733,a1985,G     ,35x46,breit, ,UoG,L   ,,H2,cf,,,,iBdK,,,,3733
3734,a1987,G     ,35x48,breit, ,UoG,Fk   ,,H3,g,,,,iBdK,,,,3734
3735,a1990,zT G Pm   ,38x48,breit, ,U,   ,,H3,cf,,,,iBdK,,,,3735
3736,a1988,zT G Pm   ,38x48,breit, ,U,   ,,H3,b,,,,iBdK,,,,3736
3737,a1988,zT G Pm   ,38x52,breit,RiK ,U,   ,,H4,b,,,,iBdK,,,,3737
3738,a1990,zT G Pm   ,41x56,breit,RiK ,UoG,L   ,,H4,cf,,,,iBdK,,,,3738
3739,a1991,zT G Pm   ,42x49,breit, ,UoG,L   ,,H3,c,,fis,,iBdK,,,,3739
3740,a1990,Mt OPa  B C  ,40x52,breit,Lwi ,U,   ,,H4,c,,,,iBdK,,,,3740
3741,a1992,Mt B K G  ,53x76,breit, ,UoG,A ZM  ,,H3,gr,,,"Zeichner, Zeichnerin",iBdK,Katharina Gusset,,,3741
3742,a1992,zT K Pm   ,53x76,breit,tS ,UoG,A Z  ,,H3,gr,,,,iBdK,Katharina Gusset,,,3742
3743,a1995,Mt T G K  ,53x76,breit, ,UnG,A Z lL ,,H4,gr,,,Zeichnerin,iBdK,,,,3743
3744,a1995,zT K B   ,53x76,breit, ,Gs,A Z Sb ,,H4,gr,,kre,Maler ,iBdK,,,,3744
3745,a1995,Mt T G K  ,53x76,breit, ,UnG,A Z   ,,H3,gr,,,Zeichnerin,iBdK,,,,3745
3746,a1992,zT B G   ,50x65,breit, ,Gs,A Sch ZM ,,H2,gr,,,"Zeichner, Zeichnerin",iBdK,,,,3746
3747,a2002,zT B G   ,44x55,breit, ,UnG,A    ,,H2,gr,,wid,Duo-Zeichnung mit Stéphanie Pichonna,iBdK,Stéphanie Pichonnat,,,3747
3748,a1992,T      ,62x45,hoch,tS ,U,   ,,H2,gr,,,,iBdK,Katharina Gusset,,,3748
