Nummer,Jahr,Technik,Format,Ausrichtung,Darstellungsformen,Gegenständlich/Ungegenständlich,Motiv,Serie,Helligkeit,Farbigkeit,Paraphrasen,Bildsprache,Titel,Standort,Zus'arbeit,Bildqualität,Bemerkungen,Nummer
136,a2011,Mt Dd T Fs B ,21x30,breit, ,U,   ,Fst,H1,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,136
137,a2011,G     ,21x30,breit,Lst ,U,   ,Fst,H2,g,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,137
138,a2011,Mt Dd T B G ,21x30,breit, ,UoG,BiB F  ,Fst,H3,gr,ParPC,,"Früchtestillleben (nach Paul Cézanne), Fs",iBdK,,,,138
139,a2012,Mt G T C Fa ,21x30,breit, ,U,   ,Fst,H2,b,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,139
140,a2012,Mt G C Kh  ,21x30,breit, ,U,   ,Fst,H3,b,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,140
141,a2011,Mt B G Kl  ,21x30,breit,Lwi ,UoG,St F  ,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,141
142,a2011,zT Fa Kh   ,21x30,breit,Gi ,U,   ,Fst,H3,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,142
143,a2016,zT G B   ,21x30,breit, ,U,   ,Fst,H2,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,143
144,a2015,Ks     ,21x30,breit, ,U,   ,Fst,H1,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,144
145,a2016,G     ,21x30,breit,Gi ,UoG,F   ,Fst,H3,v,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,145
146,a2011,Ks     ,21x30,breit, ,U,   ,Fst,H1,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,146
147,a2011,Mt Dd B G  ,21x30,breit, ,U,Sch   ,Fst,H1,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,147
148,a2011,Mt B Fa Fs Ko ,21x30,breit,Lst Lwi,U,   ,Fst,H2,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,148
149,a2011,zT Aq B   ,21x30,breit, ,UoG,F St  ,Fst,H2,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,149
150,a2011,Mt Dd B Fa G ,21x30,breit,Lst Lwi,UoG,F St  ,Fst,H3,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,150
151,a2012,G     ,21x30,breit, ,U,Sch   ,Fst,H2,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,151
152,a2012,B     ,21x30,breit,sM Lst,Gs,St F  ,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,152
153,a2012,Mt Dd B G  ,21x30,breit, ,U,BiB Ar  ,Fst,H3,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,153
154,a2012,zT Fs T   ,21x30,breit,Ul ,U,   ,Fst,H1,y,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,154
155,a2016,Mt B G C  ,21x30,breit,Ul ,U,   ,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,155
156,a2010,G     ,21x30,breit, ,U,   ,Fst,H2,grcf,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,156
157,a2012,zT B G   ,21x30,breit,Lwi ,U,   ,Fst,H1,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,157
