Nummer,Jahr,Technik,Technik I,Technik II,Technik III,Technik IV,Format,Grösse,Ausrichtung,Darstellungsform,Darstellungsform I,Gegenständlich/Ungegenständlich,Motiv I,Motiv II,Motiv III,Motiv IV,Serie,Helligkeit,Farbigkeit,Paraphrasen,Bildsprache,Titel,Standort,Status,Zus'arbeit,Bildqualität,Bemerkungen,Nummer,path,thumb,Techniken,Motiven,Darstellungsformen
2834,2006,zT,Dd,Fs,,,21x30,klein,breit,,,UnG,L,O,,,,H2,bw,Kr4,,Spuren,iBdK,res,,,,2834,images/WV_ab 2811/2834.jpg,images/WV_ab 2811/thumb/2834.jpg,zT Dd Fs  ,L O  , 
2835,2008,Mt,B,T,Dd,,21x30,klein,breit,,,U,,,,,,H2,gr,Kr4,,Topografie,iBdK,res,,,,2835,images/WV_ab 2811/2835_bearbeitet-1.jpg,images/WV_ab 2811/thumb/2835_bearbeitet-1.jpg,Mt B T Dd ,   , 
2836,2008,Mt,Dd,Fa,T,,9x11,klein,breit,,,UnG,L,,,,,H4,c,Kr4,,am Wasser,iBdK,res,,,,2836,images/WV_ab 2811/2836.jpg,images/WV_ab 2811/thumb/2836.jpg,Mt Dd Fa T ,L   , 
2837,2001,zT,Dd,B,,,9x11,klein,breit,,,UnG,L,,,,,H3,c,Kr4,,Sperriges am See,iBdK,res,,,,2837,images/WV_ab 2811/2837.jpg,images/WV_ab 2811/thumb/2837.jpg,zT Dd B  ,L   , 
2838,2002,zT,Dd,Opl,,,9x11,klein,breit,,,UnG,L,,,,,H3,c,Kr4,,Bergkreuz,iBdK,res,,,,2838,images/WV_ab 2811/2838.jpg,images/WV_ab 2811/thumb/2838.jpg,zT Dd Opl  ,L   , 
2839,2001,zT,B,Fs,,,9x11,klein,breit,,,U,,,,,,H5,bw,Kr4,ste,Reise durch die Nacht,iBdK,res,,,,2839,images/WV_ab 2811/2839.jpg,images/WV_ab 2811/thumb/2839.jpg,zT B Fs  ,   , 
2840,2001,zT,B,G,,,9x11,klein,breit,,,U,,,,,,H5,bw,Kr4,sko,Sull' orlo della notte,iBdK,res,,,,2840,images/WV_ab 2811/2840.jpg,images/WV_ab 2811/thumb/2840.jpg,zT B G  ,   , 
2841,2002,zT,B,T,,,9x11,klein,breit,,,U,,,,,,H4,bw,Kr4,sko,Sull' orlo della notte,iBdK,res,,,,2841,images/WV_ab 2811/2841.jpg,images/WV_ab 2811/thumb/2841.jpg,zT B T  ,   , 
2842,2010,zT,B,T,,,9x11,klein,breit,,,U,,,,,,H4,bw,Kr4,,Trakls Hain,iBdK,res,,,,2842,images/WV_ab 2811/2842.jpg,images/WV_ab 2811/thumb/2842.jpg,zT B T  ,   , 
2843,2017,zT,B,T,,,9x12,klein,breit,,,UoG,L,,,,,H4,gr,Kr4,,paysage blessé,iBdK,res,,,,2843,images/WV_ab 2811/2843.jpg,images/WV_ab 2811/thumb/2843.jpg,zT B T  ,L   , 
2844,2017,B,,,,,9x12,klein,breit,,,U,,,,,,H2,bw,Kr4,,Tal,iBdK,res,,,,2844,images/WV_ab 2811/2844.jpg,images/WV_ab 2811/thumb/2844.jpg,B    ,   , 
2845,2017,B,,,,,9x12,klein,breit,Lwi,,U,,,,,,H3,bw,Kr4,,Szene am Strand,iBdK,res,,,,2845,images/WV_ab 2811/2845.jpg,images/WV_ab 2811/thumb/2845.jpg,B    ,   ,Lwi 
2846,2015,B,,,,,9x12,klein,breit,,,UoG,L,mF,,,,H4,bw,Kr4,,Strand,iBdK,res,,,,2846,images/WV_ab 2811/2846.jpg,images/WV_ab 2811/thumb/2846.jpg,B    ,L mF  , 
2847,2008,Mt,Fa,T,G,,10x10,klein,quadratisch,,,U,,,,,,H2,gr,Kr4,,tempête d'hiver,iBdK,res,,,,2847,images/WV_ab 2811/2847.jpg,images/WV_ab 2811/thumb/2847.jpg,Mt Fa T G ,   , 
2848,2012,Mt,Dd,Fa,T,,10x12,klein,breit,,,U,,,,,,H4,cf,Kr4,,Heissberg,iBdK,res,,,,2848,images/WV_ab 2811/2848.jpg,images/WV_ab 2811/thumb/2848.jpg,Mt Dd Fa T ,   , 
2849,2016,zT,B,T,,,11x15,klein,breit,Lwi,,UoG,L,,,,,H4,gr,Kr4,,hard rain (Bob Dylan),iBdK,res,,,,2849,images/WV_ab 2811/2849.jpg,images/WV_ab 2811/thumb/2849.jpg,zT B T  ,L   ,Lwi 
2850,2016,zT,B,G,,,11x14,klein,breit,,,U,,,,,,H2,gr,Kr4,kre,Dunst,iBdK,res,,,,2850,images/WV_ab 2811/2850.jpg,images/WV_ab 2811/thumb/2850.jpg,zT B G  ,   , 
2851,2001,Mt,Dd,B,Opl,,11x15,klein,breit,,,UnG,L,mF,Ar,,,H2,cf,Kr4,,Wolke,iBdK,res,,,,2851,images/WV_ab 2811/2851.jpg,images/WV_ab 2811/thumb/2851.jpg,Mt Dd B Opl ,L mF Ar , 
2852,2001,Mt,B,G,Opl,,11x15,klein,breit,,,U,,,,,,H1,gr,Kr4,,Gestade,iBdK,res,,,,2852,images/WV_ab 2811/2852.jpg,images/WV_ab 2811/thumb/2852.jpg,Mt B G Opl ,   , 
2853,2012,Mt,B,T,Fa,,11x15,klein,breit,,,U,,,,,,H2,gr,Kr4,,Tektonik,iBdK,res,,,,2853,images/WV_ab 2811/2853.jpg,images/WV_ab 2811/thumb/2853.jpg,Mt B T Fa ,   , 
2854,2016,zT,G,B,,,11x15,klein,breit,,,U,,,,,,H2,cf,Kr4,,Entwurf für eine grosse Landschaft,iBdK,res,,,,2854,images/WV_ab 2811/2854.jpg,images/WV_ab 2811/thumb/2854.jpg,zT G B  ,   , 
2855,2012,zT,B,T,,,11x15,klein,breit,Lst,,U,,,,,,H2,gr,Kr4,,Böe,iBdK,res,,,,2855,images/WV_ab 2811/2855.jpg,images/WV_ab 2811/thumb/2855.jpg,zT B T  ,   ,Lst 
2856,2019,zT,B,Fs,,,11x15,klein,,,,U,,,,,,H2,bw,Kr5e,,caput,iBdK,res,,,,2856,images/WV_ab 2811/2856.jpg,images/WV_ab 2811/thumb/2856.jpg,zT B Fs  ,   , 
2857,2001,zT,Fa,G,,,11x15,klein,breit,,,U,,,,,,H2,gr,Kr4,,offenes Gelände,iBdK,res,,,,2857,images/WV_ab 2811/2857_bearbeitet-1.jpg,images/WV_ab 2811/thumb/2857_bearbeitet-1.jpg,zT Fa G  ,   , 
2858,2015,zT,B,Fs,,,11x15,klein,breit,,,U,,,,,,H1,bw,Kr4,,Steilküste,iBdK,res,,,,2858,images/WV_ab 2811/2858_bearbeitet-1.jpg,images/WV_ab 2811/thumb/2858_bearbeitet-1.jpg,zT B Fs  ,   , 
2859,2009,zT,B,T,,,11x15,klein,breit,,,U,Sch,,,,,H3,gr,Kr4,,mit dem kleinen s,iBdK,res,,,,2859,images/WV_ab 2811/2859_bearbeitet-1.jpg,images/WV_ab 2811/thumb/2859_bearbeitet-1.jpg,zT B T  ,Sch   , 
2860,2007,B,,,,,11x15,klein,breit,,,U,,,,,,H1,bw,Kr4,,lyrische Landschaft,iBdK,res,,,,2860,images/WV_ab 2811/2860_bearbeitet-1.jpg,images/WV_ab 2811/thumb/2860_bearbeitet-1.jpg,B    ,   , 
2861,2001,zT,B,Fa,,,11x15,klein,breit,,,U,,,,,,H2,cf,Kr4,fis,espace,iBdK,res,,,,2861,images/WV_ab 2811/2861_bearbeitet-1.jpg,images/WV_ab 2811/thumb/2861_bearbeitet-1.jpg,zT B Fa  ,   , 
2862,2012,zT,Dd,G,,,9x17,klein,breit,,,U,Sch,,,,,H3,gr,Kr4,,coast,iBdK,res,,,,2862,images/WV_ab 2811/2862.jpg,images/WV_ab 2811/thumb/2862.jpg,zT Dd G  ,Sch   , 
2863,2012,zT,Dd,Opl,,,9x18,klein,breit,,,UnG,L,Pf,,,,H2,y,Kr4,,Feldforschung,iBdK,res,,,,2863,images/WV_ab 2811/2863.jpg,images/WV_ab 2811/thumb/2863.jpg,zT Dd Opl  ,L Pf  , 
2864,2017,B,,,,,11x21,klein,breit,,,UnG,L,,,,,H2,gr,Kr4,jun,berühmter Berg,iBdK,res,,,,2864,images/WV_ab 2811/2864_bearbeitet-1.jpg,images/WV_ab 2811/thumb/2864_bearbeitet-1.jpg,B    ,L   , 
2865,2002,zT,Dd,Opl,,,12x12,klein,quadratisch,Lwi,,UnG,L,,,,,H3,cf,Kr4,sch,kurzer Wetterbericht,iBdK,res,,,,2865,images/WV_ab 2811/2865.jpg,images/WV_ab 2811/thumb/2865.jpg,zT Dd Opl  ,L   ,Lwi 
2866,2015,zT,B,G,,,15x12,klein,hoch,,,U,,,,,,H4,v,Kr4,,Lichtung,iBdK,res,,,,2866,images/WV_ab 2811/2866.jpg,images/WV_ab 2811/thumb/2866.jpg,zT B G  ,   , 
2867,2015,Mt,G,T,B,,13x17,klein,breit,,,U,,,,,,H4,gr,Kr4,sko,L'orlo della notte,iBdK,res,,,,2867,images/WV_ab 2811/2867_bearbeitet-1.jpg,images/WV_ab 2811/thumb/2867_bearbeitet-1.jpg,Mt G T B ,   , 
2868,2002,zT,T,G,,,14x20,klein,breit,,,U,,,,,,H2,gr,Kr4,fis,nordic tale,iBdK,res,,,,2868,images/WV_ab 2811/2868.jpg,images/WV_ab 2811/thumb/2868.jpg,zT T G  ,   , 
2869,2016,zT,B,T,,,15x20,klein,breit,Lst,,UoG,L,,,,,H3,gr,Kr4,,unsicheres Gelände,iBdK,res,,,,2869,images/WV_ab 2811/2869.jpg,images/WV_ab 2811/thumb/2869.jpg,zT B T  ,L   ,Lst 
2870,2008,Mt,Dd,B,Fa,,20x27,klein,breit,,,U,,,,,,H2,gr,Kr4,zwi,Wassily!,iBdK,res,,,,2870,images/WV_ab 2870/2870.jpg,images/WV_ab 2870/thumb/2870.jpg,Mt Dd B Fa ,   , 
2871,2009,Mt,Dd,B,T,,20x28,klein,breit,,,U,,,,,,H2,gr,Par7a,,"nach Kandinskjs ""Accord réciproque""",iBdK,,,,,2871,images/WV_ab 2870/2871.jpg,images/WV_ab 2870/thumb/2871.jpg,Mt Dd B T ,   , 
2872,2012,Mt,Dd,B,Fa,,20x28,klein,breit,,,U,,,,,,H3,gr,Par7a,waa,"Duo (nach Kupkas ""Solo for a Brown Line""",iBdK,,,,,2872,images/WV_ab 2870/2872.jpg,images/WV_ab 2870/thumb/2872.jpg,Mt Dd B Fa ,   , 
2873,2015,B,,,,,14x19,klein,breit,,,UoG,L,O,,,,H2,gr,Par7a,,The Port of L'Estaque ( G. Braque),iBdK,,,,,2873,images/WV_ab 2870/2873.jpg,images/WV_ab 2870/thumb/2873.jpg,B    ,L O  , 
2874,2013,zT,B,T,,,11x15,klein,breit,,,U,,,,,,H2,gr,Par7a,,Tierschicksale (nach Franz Marc),iBdK,,,,,2874,images/WV_ab 2870/2874.jpg,images/WV_ab 2870/thumb/2874.jpg,zT B T  ,   , 
2875,2011,zT,B,C,,,17x21,klein,breit,,,UnG,Tie,Sch,,,,H2,gr,Par7a,,"""Stier unterm Regenbogen"" (nach Franz Marc)",iBdK,,,,,2875,images/WV_ab 2870/2875.jpg,images/WV_ab 2870/thumb/2875.jpg,zT B C  ,Tie Sch  , 
2876,2007,Mt,Dd,B,T,,11x21,klein,breit,Lwi,,U,,,,,,H3,gr,Par7a,waa,"nach James Ensor: ""der Wirsingkohl""",iBdK,,,,,2876,images/WV_ab 2870/2876.jpg,images/WV_ab 2870/thumb/2876.jpg,Mt Dd B T ,   ,Lwi 
2877,2011,Mt,B,T,,,11x15,klein,breit,Lwi,,U,,,,,,H2,gr,Par7a,kre,El roc de l'estany (nach Joaquim Mir),iBdK,,,,,2877,images/WV_ab 2870/2877.jpg,images/WV_ab 2870/thumb/2877.jpg,Mt B T  ,   ,Lwi 
2878,2012,Mt,B,Fa,T,,20x28,klein,breit,,,U,,,,,,H2,gr,Par7a,,"nach Kupka: ""THE PIANO KEYS/LAKE""",iBdK,,,,,2878,images/WV_ab 2870/2878.jpg,images/WV_ab 2870/thumb/2878.jpg,Mt B Fa T ,   , 
2879,2016,B,,,,,17x23,klein,breit,Lst,,Gs,O,,,,,H3,bw,Par7a,,"nach Max Pechstenis ""Stillleben mit Negerstatuen""",iBdK,,,,,2879,images/WV_ab 2870/2879.jpg,images/WV_ab 2870/thumb/2879.jpg,B    ,O   ,Lst 
2880,2013,Mt,B,T,Opl,,20x25,klein,breit,,,UnG,Kt,,,,,H2,gr,Par7a,waa,"frei nach J. Styrsky (""From My Diary"")",iBdK,,,,,2880,images/WV_ab 2870/2880.jpg,images/WV_ab 2870/thumb/2880.jpg,Mt B T Opl ,Kt   , 
2881,2008,Mt,Dd,B,T,,20x28,klein,breit,,,UnG,Tie,Sch,,,,H3,bw,Par7a,zwi,"tropfende Nase, schlauer Fuchs (Otto Meyer-Amden)",iBdK,,,,,2881,images/WV_ab 2870/2881.jpg,images/WV_ab 2870/thumb/2881.jpg,Mt Dd B T ,Tie Sch  , 
2882,2010,Mt,T,G,B,,21x30,klein,breit,Lst,,U,,,,,,H3,gr,Par7a,,"d'après ""...L'or de Neptune"", de Léon Spilliaert",iBdK,,,,,2882,images/WV_ab 2870/2882.jpg,images/WV_ab 2870/thumb/2882.jpg,Mt T G B ,   ,Lst 
2883,2010,Mt,T,B,Fs,,20x28,klein,breit,Lst,,U,,,,,,H4,bw,Par7a,,"frei nach Léon Spilliaert ""Marine jaune, L'or de Neptune""",iBdK,,,,,2883,images/WV_ab 2870/2883.jpg,images/WV_ab 2870/thumb/2883.jpg,Mt T B Fs ,   ,Lst 
2884,2006,Mt,B,G,T,,15x18,klein,breit,,,Gs,Z,Sb,A,,,H4,gr,Par7a,sko,autoportrait (d'après Léon Spilliaert),iBdK,,,,,2884,images/WV_ab 2870/2884.jpg,images/WV_ab 2870/thumb/2884.jpg,Mt B G T ,Z Sb A , 
2885,2016,B,,,,,21x25,klein,breit,,,UoG,FigG,,,,,H2,bw,Par7a,,"Le Quatuor de Debussy, d'après Claude Dalbanne",iBdK,,,,,2885,images/WV_ab 2870/2885.jpg,images/WV_ab 2870/thumb/2885.jpg,B    ,FigG   , 
2886,2009,Mt,Od,Dd,B,,21x30,klein,breit,Gi,,UoG,Tie,,,,,H3,gr,Par7a,,"nach Eschers ""Study for Reptiles"" ",iBdK,,,,,2886,images/WV_ab 2870/2886.jpg,images/WV_ab 2870/thumb/2886.jpg,Mt Od Dd B ,Tie   ,Gi 
2887,2009,zT,Od,B,,,21x30,klein,breit,Gi,Lwi,UnG,FigG,,,,,H2,gr,Par7a,jun,nach einer Zeichnung von Felix Hoffmann,iBdK,,,,,2887,images/WV_ab 2870/2887.jpg,images/WV_ab 2870/thumb/2887.jpg,zT Od B  ,FigG   ,Gi Lwi
2888,2014,B,,,,,30x21,klein,hoch,,,U,,,,,,H1,gr,Par7a,zwi,Trovatore (nach Giorgio de Chirico),iBdK,,,,,2888,images/WV_ab 2870/2888.jpg,images/WV_ab 2870/thumb/2888.jpg,B    ,   , 
2889,2001,B,,,,,11x17,klein,breit,,,Gs,Mw,mF,P,,,H3,gr,ParPP,,"nach Picassos ""Minotaure mourant""",iBdK,,,,,2889,images/WV_ab 2870/2889.jpg,images/WV_ab 2870/thumb/2889.jpg,B    ,Mw mF P , 
2890,2001,T,,,,,15x21,klein,breit,,,UoG,Mw,mF,AP,FigG,,H3,gr,ParPP,,"nach Picassos ""Scène bachique au Minotaure""",iBdK,,,,,2890,images/WV_ab 2870/2890.jpg,images/WV_ab 2870/thumb/2890.jpg,T    ,Mw mF AP FigG, 
2891,2012,B,,,,,15x21,klein,breit,,,Gs,FigG,,,,,H3,bw,ParPP,,El retorn dels pescadors (nach Picasso),iBdK,,,,,2891,images/WV_ab 2870/2891.jpg,images/WV_ab 2870/thumb/2891.jpg,B    ,FigG   , 
2892,2001,T,,,,,21x30,klein,breit,,,UoG,Tie,O,AP,,,H4,gr,ParPP,,"nach Picassos Lavis ""Le Singe Peintre""",iBdK,,,,,2892,images/WV_ab 2870/2892.jpg,images/WV_ab 2870/thumb/2892.jpg,T    ,Tie O AP , 
2893,2011,Mt,Dd,G,B,,21x30,klein,breit,Lwi,,Gs,ZM,,,,,H3,gr,ParPP,,Maler und Modell (nach Pablo Picasso),iBdK,,,,,2893,images/WV_ab 2870/2893.jpg,images/WV_ab 2870/thumb/2893.jpg,Mt Dd G B ,ZM   ,Lwi 
2894,2010,zT,Dd,B,,,26x20,klein,hoch,,,UoG,At,Pf,O,,,H2,gr,ParPP,,The Studio (after Picasso),iBdK,,,,,2894,images/WV_ab 2870/2894.jpg,images/WV_ab 2870/thumb/2894.jpg,zT Dd B  ,At Pf O , 
2895,2014,zT,Ab,Fa,,,21x30,klein,breit,,,UoG,P,Pf,,,,H1,bw,ParPP,,"""Les demoiselles des bords del la Seine, d'après Courbet"" (nach Pablo Picasso)",iBdK,,,,,2895,images/WV_ab 2870/2895.jpg,images/WV_ab 2870/thumb/2895.jpg,zT Ab Fa  ,P Pf  , 
2896,2010,T, ,,,,21x26,klein,breit,,,U,,,,,,H3,gr,ParPP,,Les Demoiselles d'Avalon (d'après Picasso),iBdK,,,,,2896,images/WV_ab 2870/2896.jpg,images/WV_ab 2870/thumb/2896.jpg,T     ,   , 
2897,2016,Mt,B,T,Fs,,21x15,klein,hoch,,,U,,,,,,H4,bw,ParPP,,The Three Dancers (after Picasso),iBdK,,,,,2897,images/WV_ab 2870/2897.jpg,images/WV_ab 2870/thumb/2897.jpg,Mt B T Fs ,   , 
2898,2012,zT,B,T,,,15x11,klein,hoch,,,U,,,,,,H4,bw,ParPP,,Personatge amb fruitera (nach Picasso),iBdK,,,,,2898,images/WV_ab 2870/2898.jpg,images/WV_ab 2870/thumb/2898.jpg,zT B T  ,   , 
2899,2015,Mt,Dd,B,G,,13x18,klein,breit,Gi,,UoG,mF,Ar,,,,H3,gr,ParPP,,Las Meninas (nach Picasso),iBdK,,,,,2899,images/WV_ab 2870/2899.jpg,images/WV_ab 2870/thumb/2899.jpg,Mt Dd B G ,mF Ar  ,Gi 
2900,2010,B, ,,,,17x21,klein,breit,,,U,,,,,,H2,gr,Par7a,,The Snail (nach Henri Matisse),iBdK,,,,,2900,images/WV_ab 2870/2900.jpg,images/WV_ab 2870/thumb/2900.jpg,B     ,   , 
2901,2010,Mt,Dd,B,G,,20x28,klein,breit,,,U,,,,,,H2,gr,Par7a,,"after Francis Bacon: ""Three Figures and a Portrait""",iBdK,,,,,2901,images/WV_ab 2870/2901.jpg,images/WV_ab 2870/thumb/2901.jpg,Mt Dd B G ,   , 
2902,2007,B, ,,,,21x30,klein,breit,Lwi,,U,,,,,,H2,bw,Par7a,zwi,kleine Hommage an den grossen Ernst,iBdK,,,,,2902,images/WV_ab 2870/2902.jpg,images/WV_ab 2870/thumb/2902.jpg,B     ,   ,Lwi 
2903,2016,Mt,Dd,B,Fs,G,21x30,klein,breit,,,UnG,O,,,,,H2,cf,Par7a,,Fünfklang (frei nach Beuys),iBdK,,,,,2903,images/WV_ab 2870/2903.jpg,images/WV_ab 2870/thumb/2903.jpg,Mt Dd B Fs G,O   , 
2904,2010,zT,B,G,,,14x30,klein,breit,,,U,Sch,,,,,H2,gr,Par7a,,"zu Neo Rauch: ""Fluchtversuch""",iBdK,,,,,2904,images/WV_ab 2870/2904.jpg,images/WV_ab 2870/thumb/2904.jpg,zT B G  ,Sch   , 
2905,2010,zT,Dd,B,,,11x15,klein,breit,,,U,BiB,,,,,H2,gr,Par7a,,"nach William Scotts ""Ochre Still life""",iBdK,,,,,2905,images/WV_ab 2870/2905.jpg,images/WV_ab 2870/thumb/2905.jpg,zT Dd B  ,BiB   , 
2906,2012,zT,B,T,,,15x19,klein,breit,,,UnG,Tie,mF,,,,H2,gr,Par7a,,"nach Eschers ""Plane filling""",iBdK,,,,,2906,images/WV_ab 2870/2906.jpg,images/WV_ab 2870/thumb/2906.jpg,zT B T  ,Tie mF  , 
2907,2015,Mt,B,G,Fa,,9x11,klein,breit,,,Gs,Ri,,,,,H3,gr,Par7a,,Miner (after Nedim Günsür),iBdK,,,,,2907,images/WV_ab 2870/2907.jpg,images/WV_ab 2870/thumb/2907.jpg,Mt B G Fa ,Ri   , 
2908,2012,B,,,,,11x15,klein,breit,,,U,,,,,,H2,gr,Par7a,ste,"frei nach Luis Claramunt (Composición"", 1973)",iBdK,,,,,2908,images/WV_ab 2870/2908.jpg,images/WV_ab 2870/thumb/2908.jpg,B    ,   , 
2909,2015,B,,,,,11x15,klein,breit,,,U,,,,,,H3,gr,Par7a,,Figura (nach Luis Claramunt),iBdK,,,,,2909,images/WV_ab 2870/2909.jpg,images/WV_ab 2870/thumb/2909.jpg,B    ,   , 
2910,2012,zT,Fs,T,,,11x15,klein,breit,,,UoG,Ar,Pf,,,,H5,gr,Par7a,,La iglesia de San Luis (nach Luis Claramunt),iBdK,,,,,2910,images/WV_ab 2870/2910.jpg,images/WV_ab 2870/thumb/2910.jpg,zT Fs T  ,Ar Pf  , 
2911,2016,Mt,B,Fa,G,Le,17x21,klein,breit,Lwi,,U,Sch,,,,,H2,gr,Par7a,was,"nach Dieter Roths ""Selfportrait as a Drowning Man""",iBdK,,,,,2911,images/WV_ab 2870/2911.jpg,images/WV_ab 2870/thumb/2911.jpg,Mt B Fa G Le,Sch   ,Lwi 
2912,2013,B,,,,,9x11,klein,breit,,,UoG,mF,,,,,H2,bw,Par7a,,"Fisher Boy (after ""Fisher Boy and Cats"" by Orhan Peker)",iBdK,,,,,2912,images/WV_ab 2870/2912.jpg,images/WV_ab 2870/thumb/2912.jpg,B    ,mF   , 
2913,2013,B,,,,,11x15,klein,breit,,,U,Sch,,,,,H1,gr,Par7a,,frei nach Luciano Fabro,iBdK,,,,,2913,images/WV_ab 2870/2913.jpg,images/WV_ab 2870/thumb/2913.jpg,B    ,Sch   , 
2914,2013,B,,,,,11x15,klein,breit,,,U,Sch,,,,,H1,gr,Par7a,,frei nach Luciano Fabro,iBdK,,,,,2914,images/WV_ab 2870/2914.jpg,images/WV_ab 2870/thumb/2914.jpg,B    ,Sch   , 
2915,2013,B,,,,,11x15,klein,breit,,,U,Sch,,,,,H1,gr,Par7a,,frei nach Luciano Fabro,iBdK,,,,,2915,images/WV_ab 2870/2915.jpg,images/WV_ab 2870/thumb/2915.jpg,B    ,Sch   , 
2916,2010,Mt,Dd,Fs,G,,11x15,klein,breit,,,UnG,AP,,,,,H4,gr,Par7a,,"""Innerhalb und ausserhalb der Leinwand II"" nach Maria Lassnig",iBdK,,,,,2916,images/WV_ab 2870/2916.jpg,images/WV_ab 2870/thumb/2916.jpg,Mt Dd Fs G ,AP   , 
2917,2010,Mt,Dd,Fa,B,G,15x15,klein,quadratisch,,,UnG,AP,,,,,H3,gr,Par7a,,"""Innerhalb und ausserhalb der Leinwand II"" nach Maria Lassnig",iBdK,,,,,2917,images/WV_ab 2870/2917.jpg,images/WV_ab 2870/thumb/2917.jpg,Mt Dd Fa B G,AP   , 
2918,2010,Mt,Dd,B,T,,11x12,klein,breit,,,UnG,AP,,,,,H2,bw,Par7a,zwi,"""Innerhalb und ausserhalb der Leinwand II"" nach Maria Lassnig",iBdK,,,,,2918,images/WV_ab 2870/2918.jpg,images/WV_ab 2870/thumb/2918.jpg,Mt Dd B T ,AP   , 
2919,2010,zT,Dd,T,,,10x15,klein,breit,,,UnG,AP,,,,,H3,gr,Par7a,,"""Innerhalb und ausserhalb der Leinwand II"" nach Maria Lassnig",iBdK,,,,,2919,images/WV_ab 2870/2919.jpg,images/WV_ab 2870/thumb/2919.jpg,zT Dd T  ,AP   , 
2920,2010,Mt,Dd,T,Fa,Fs,12x15,klein,breit,,,UnG,AP,,,,,H3,gr,Par7a,,"""Innerhalb und ausserhalb der Leinwand II"" nach Maria Lassnig",iBdK,,,,,2920,images/WV_ab 2870/2920.jpg,images/WV_ab 2870/thumb/2920.jpg,Mt Dd T Fa Fs,AP   , 
2921,2010,Mt,Dd,Fa,G,,11x15,klein,breit,Gi,,UnG,AP,,,,,H2,gr,Par7a,,"""Innerhalb und ausserhalb der Leinwand II"" nach Maria Lassnig",iBdK,,,,,2921,images/WV_ab 2870/2921.jpg,images/WV_ab 2870/thumb/2921.jpg,Mt Dd Fa G ,AP   ,Gi 
2922,2010,Mt,Dd,B,Fs,G,12x14,klein,breit,,,UnG,AP,,,,,H2,gr,Par7a,,"""Innerhalb und ausserhalb der Leinwand II"" nach Maria Lassnig",iBdK,,,,,2922,images/WV_ab 2870/2922.jpg,images/WV_ab 2870/thumb/2922.jpg,Mt Dd B Fs G,AP   , 
2923,2010,Mt,Dd,T,Fa,,12x10,klein,hoch,,,UnG,AP,,,,,H2,gr,Par7a,,"""Innerhalb und ausserhalb der Leinwand II"" nach Maria Lassnig",iBdK,,,,,2923,images/WV_ab 2870/2923.jpg,images/WV_ab 2870/thumb/2923.jpg,Mt Dd T Fa ,AP   , 
2924,2010,Mt,Dd,B,Ks,,14x11,klein,hoch,,,UnG,AP,,,,,H2,gr,Par7a,,"""Innerhalb und ausserhalb der Leinwand II"" nach Maria Lassnig",iBdK,,,,,2924,images/WV_ab 2870/2924.jpg,images/WV_ab 2870/thumb/2924.jpg,Mt Dd B Ks ,AP   , 
2925,2014,B, ,,,,21x30,klein,breit,Lwi,,UoG,Ri,,,,,H2,gr,Par7a,,kleine Hommage an Maria Lassnig,iBdK,,,,,2925,images/WV_ab 2870/2925.jpg,images/WV_ab 2870/thumb/2925.jpg,B     ,Ri   ,Lwi 
2926,2014,zT,B,T,,,21x30,klein,breit,,,Gs,mF,,,,,H2,gr,Par7a,kre,Kreuzigung (nach František Ronovský),iBdK,,,,,2926,images/WV_ab 2870/2926.jpg,images/WV_ab 2870/thumb/2926.jpg,zT B T  ,mF   , 
2927,2001,zT,Dd,Opl,,,11x15,klein,breit,,,UnG,BiB,Sch,,,,H4,gr,Par7a,,Studio floor drawing (nach Keith Tyson),iBdK,,,,,2927,images/WV_ab 2870/2927.jpg,images/WV_ab 2870/thumb/2927.jpg,zT Dd Opl  ,BiB Sch  , 
2928,2001,Mt,Dd,Opl,B,,11x21,klein,breit,,,UnG,BiB,Sch,,,,H3,gr,Par7a,,Entdeckung,iBdK,,,,,2928,images/WV_ab 2870/2928.jpg,images/WV_ab 2870/thumb/2928.jpg,Mt Dd Opl B ,BiB Sch  , 
2929,2009,Mt,Dd,B,G,,20x28,klein,breit,Gi,,UnG,AP,,,,,H4,bw,Par7a,,"nach Tom Wesselmanns ""great American Nude No. 10""",iBdK,,,,,2929,images/WV_ab 2870/2929.jpg,images/WV_ab 2870/thumb/2929.jpg,Mt Dd B G ,AP   ,Gi 
2930,2012,zT,Dd,B,,,21x30,klein,breit,,,Gs,AP,Sch,,,,H4,bw,Par7a,,Great Bernese Nude,iBdK,,,,,2930,images/WV_ab 2870/2930.jpg,images/WV_ab 2870/thumb/2930.jpg,zT Dd B  ,AP Sch  , 
2931,2012,Mt,T,B,Fa,,15x21,klein,breit,Lst,,U,,,,,,H3,gr,Par7a,,"""How My Mother's Embroidered Apron Unfolds in My life"" (after Arshile Gorky)",iBdK,,,,,2931,images/WV_ab 2870/2931.jpg,images/WV_ab 2870/thumb/2931.jpg,Mt T B Fa ,   ,Lst 
2932,2010,Mt,B,T,G,,11x14,klein,breit,,,U,,,,,,H2,gr,Par7a,,"fei nach ""Number 12"" von Joan Mitchell",iBdK,,,,,2932,images/WV_ab 2870/2932.jpg,images/WV_ab 2870/thumb/2932.jpg,Mt B T G ,   , 
2933,2010,zT,Dd,B,,,20x21,klein,breit,,,U,,,,,,H2,gr,Par7a,fis,frei nach Joan Mitchell,iBdK,,,,,2933,images/WV_ab 2870/2933.jpg,images/WV_ab 2870/thumb/2933.jpg,zT Dd B  ,   , 
