Nummer,Jahr,Technik,Technik I,Technik II,Technik III,Technik IV,Format,Grösse,Ausrichtung,Darstellungsform,Darstellungsform I,Gegenständlich/Ungegenständlich,Motiv I,Motiv II,Motiv III,Motiv IV,Serie,Helligkeit,Farbigkeit,Paraphrasen,Bildsprache,Titel,Standort,Status,Zus'arbeit,Bildqualität,Bemerkungen,Nummer,path,thumb,Techniken,Motiven,Darstellungsformen
0034,2012,zT,Dd,T,,,21x30,klein,breit,Lst,,U,BiB,,,,Fst,H1,bw,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0034,images/WV_ab 0001/0034_2012_Dd_T_A4_F_PPC_H1.jpg,images/WV_ab 0001/thumb/0034_2012_Dd_T_A4_F_PPC_H1.jpg,zT Dd T  ,BiB   ,Lst 
0035,2011,B,,,,,21x30,klein,breit,Lwi,,U,,,,,Fst,H1,y,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0035,images/WV_ab 0001/0035_2011_B_A4_F_PPC_H1.jpg,images/WV_ab 0001/thumb/0035_2011_B_A4_F_PPC_H1.jpg,B    ,   ,Lwi 
0036,2011,zT,Ac,G,,,21x30,klein,breit,,,U,,,,,Fst,H2,cf,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0036,images/WV_ab 0001/0036_2011_Ac_G_A4_F_PPC_H2.jpg,images/WV_ab 0001/thumb/0036_2011_Ac_G_A4_F_PPC_H2.jpg,zT Ac G  ,   , 
0037,2011,zT,Dd,B,,,21x30,klein,breit,,,U,Sch,,,,Fst,H2,bw,ParPC,was,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0037,images/WV_ab 0001/0037_2011_Dd_B_A4_F_PPC_H2.jpg,images/WV_ab 0001/thumb/0037_2011_Dd_B_A4_F_PPC_H2.jpg,zT Dd B  ,Sch   , 
0038,2011,zT,Od,B,,,21x30,klein,breit,,,Gs,F,Sch,BiB,St,Fst,H1,cf,ParPC,was,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0038,images/WV_ab 0001/0038_2011_Od_B_A4_F_PPC_H1.jpg,images/WV_ab 0001/thumb/0038_2011_Od_B_A4_F_PPC_H1.jpg,zT Od B  ,F Sch BiB St, 
0039,2011,Mt,Dd,B,Fs,Fa,21x30,klein,breit,,,U,,,,,Fst,H1,gr,ParPC,was,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0039,images/WV_ab 0001/0039_2011_M_A4_F_PPC_was_H1.jpg,images/WV_ab 0001/thumb/0039_2011_M_A4_F_PPC_was_H1.jpg,Mt Dd B Fs Fa,   , 
0040,2011,zT,Dd,G,,,21x30,klein,breit,,,U,,,,,Fst,H2,b,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0040,images/WV_ab 0001/0040_2011_Dd_G_A4_F_PPC_was_H2.jpg,images/WV_ab 0001/thumb/0040_2011_Dd_G_A4_F_PPC_was_H2.jpg,zT Dd G  ,   , 
0041,2016,zT,T,G,,,21x30,klein,breit,,,U,,,,,Fst,H2,v,ParPC,fis,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0041,images/WV_ab 0001/0041_2016_T_Ac_G_A4_F_PPC_fis_H2.jpg,images/WV_ab 0001/thumb/0041_2016_T_Ac_G_A4_F_PPC_fis_H2.jpg,zT T G  ,   , 
0042,2012,G,,,,,21x30,klein,breit,,,UoG,F,St,,,Fst,H1,b,ParPC,fis,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0042,images/WV_ab 0001/0042_2012_G_A4_F_PPC_fis_H1.jpg,images/WV_ab 0001/thumb/0042_2012_G_A4_F_PPC_fis_H1.jpg,G    ,F St  , 
0043,2012,zT,B,Fa,,,21x30,klein,breit,,,UoG,F,St,,,Fst,H1,bw,ParPC,fis,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0043,images/WV_ab 0001/0043_2012_B_Fa_A4_F_PPC_fis_H1.jpg,images/WV_ab 0001/thumb/0043_2012_B_Fa_A4_F_PPC_fis_H1.jpg,zT B Fa  ,F St  , 
0044,2012,zT,Opll,G,,,21x30,klein,breit,,,U,,,,,Fst,H2,cf,ParPC,fis,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0044,images/WV_ab 0001/0044_2012_Op_G_A4_F_PPC_fis_H2.jpg,images/WV_ab 0001/thumb/0044_2012_Op_G_A4_F_PPC_fis_H2.jpg,zT Opll G  ,   , 
0045,2011,zT,Aq,B,,,21x30,klein,breit,Gi,,UoG,F,St,,,Fst,H2,cf,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0045,images/WV_ab 0001/0045_2011_Aq_B_A4_F_PPC_H2.jpg,images/WV_ab 0001/thumb/0045_2011_Aq_B_A4_F_PPC_H2.jpg,zT Aq B  ,F St  ,Gi 
0046,2014,B,,,,,21x30,klein,breit,Lwi,,U,,,,,Fst,H1,bw,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0046,images/WV_ab 0001/0046_2014_B_A4_F_PPC_H1.jpg,images/WV_ab 0001/thumb/0046_2014_B_A4_F_PPC_H1.jpg,B    ,   ,Lwi 
0047,2015,zT,T,B,,,21x30,klein,breit,,,U,,,,,Fst,H2,gr,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0047,images/WV_ab 0001/0047_2015_T_B_A4_F_PPC_H2.jpg,images/WV_ab 0001/thumb/0047_2015_T_B_A4_F_PPC_H2.jpg,zT T B  ,   , 
0048,2011,zT,Dd,B,,,21x30,klein,breit,,,UoG,F,BiB,St,,Fst,H2,bw,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0048,images/WV_ab 0001/0048_2011_Dd_B_A4_F_PPC_H2.jpg,images/WV_ab 0001/thumb/0048_2011_Dd_B_A4_F_PPC_H2.jpg,zT Dd B  ,F BiB St , 
0049,2011,zT,G,Dp,,,21x30,klein,breit,Lwi,,U,,,,,Fst,H1,m,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0049,images/WV_ab 0001/0049_2011_G_Dp_A4_F_PPC_H1.jpg,images/WV_ab 0001/thumb/0049_2011_G_Dp_A4_F_PPC_H1.jpg,zT G Dp  ,   ,Lwi 
0050,2011,zT,Dp,B,,,21x30,klein,breit,Lwi,,U,,,,,Fst,H1,gr,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0050,images/WV_ab 0001/0050_2011_Dp_B_A4_F_PPC_H1.jpg,images/WV_ab 0001/thumb/0050_2011_Dp_B_A4_F_PPC_H1.jpg,zT Dp B  ,   ,Lwi 
0051,2012,zT,Dd,G,,,21x30,klein,breit,,,U,,,,,Fst,H2,gr,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0051,images/WV_ab 0001/0051_2012_Dd_G_A4_F_PPC_H2.jpg,images/WV_ab 0001/thumb/0051_2012_Dd_G_A4_F_PPC_H2.jpg,zT Dd G  ,   , 
0052,2011,zT,B,G,,,21x30,klein,breit,,,U,Sch,,,,Fst,H1,cf,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0052,images/WV_ab 0001/0052_2011_A4_B_G_A4_I_PPC_H1.jpg,images/WV_ab 0001/thumb/0052_2011_A4_B_G_A4_I_PPC_H1.jpg,zT B G  ,Sch   , 
0053,2011,Mt,Dd,B,G,Ve,21x30,klein,breit,Lwi,Gi,UoG,F,,St,,Fst,H2,gr,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0053,images/WV_ab 0001/0053_2011_Dd_G_B_A4_F_PPC_H2.jpg,images/WV_ab 0001/thumb/0053_2011_Dd_G_B_A4_F_PPC_H2.jpg,Mt Dd B G Ve,F  St ,Lwi Gi
