Nummer,Jahr,Technik,Technik I,Technik II,Technik III,Technik IV,Format,Ausrichtung,Darstellungsformen,Darstellungsformen,Gegenständlich/Ungegenständlich,Motiv,Motiv,Motiv,Motiv,Serie,Helligkeit,Farbigkeit,Paraphrasen,Bildsprache,Titel,Standort,Zus'arbeit,Bildqualität,Bemerkungen,Nummer
0052,a2011,zT,B,G,,,21x30,breit,,,U,Sch,,,,Fst,H1,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0052
0053,a2011,Mt,Dd,B,G,Ve,21x30,breit,Lwi,Gi,UoG,F,,St,,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0053
0054,a2011,zT,Dd,Ks,,,21x30,breit,,,UnG,F,BiB,St,,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0054
0055,a2011,zT,G,B,,,21x30,breit,,,U,,,,,Fst,H3,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0055
0056,a2011,Mt,Dd,B,G,Fa,21x30,breit,Lst,,UoG,Ul,,,,Fst,H2,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0056
0057,a2011,Dd,,,,,21x30,breit,,,U,Sch,,,,Fst,H1,y,ParPC,was,Früchtestillleben (nach Paul Cézanne),,,,,0057
0058,a2011,zT,Dd,G,,,21x30,breit,Gi,,U,,,,,Fst,H1,cf,ParPC,was,Früchtestillleben (nach Paul Cézanne),,,,,0058
0059,a2012,zT,B,G,,,21x30,breit,,,U,,,,,Fst,H1,cf,ParPC,was,Früchtestillleben (nach Paul Cézanne),,,,,0059
0060,a2011,Mt,Dd,B,G,,21x30,breit,,,U,Sch,,,,Fst,H2,bw,ParPC,was,Früchtestillleben (nach Paul Cézanne),,,,,0060
0061,a2011,B,,,,,21x30,breit,,,UoG,F,St,,,Fst,H1,gr,ParPC,fis,Früchtestillleben (nach Paul Cézanne),,,,,0061
0062,a2016,Mt,Pk,B,Opll,,21x30,breit,,,U,,,,,Fst,H3,v,ParPC,fis,Früchtestillleben (nach Paul Cézanne),,,,,0062
0063,a2016,zT,T,Kh,,,21x30,breit,,,UoG,,,,,Fst,H3,gr,ParPC,fis,Früchtestillleben (nach Paul Cézanne),,,,,0063
0064,a2012,G,,,,,21x30,breit,,,U,,,,,Fst,H2,cf,ParPC,fis,Früchtestillleben (nach Paul Cézanne),,,,,0064
0065,a2012,Opll,,,,,21x30,breit,,,U,,,,,Fst,H1,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0065
0066,a2012,zT,Dp,G,,,21x30,breit,,,U,,,,,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0066
0067,a2012,Mt,Dd,B,Fs,Ks,21x30,breit,Gi,,UoG,F,St,,,Fst,H3,bw,ParPC,,"Früchtestillleben (nach Paul Cézanne), T",,,,,0067
0068,a2011,zT,Dd,T,,,21x30,breit,,,U,,,,,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0068
0069,a2013,zT,B,Fa,,,21x30,breit,,,UoG,F,St,,,Fst,H2,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0069
0070,a2011,Mt,G,Dd,T,,21x30,breit,,,U,,,,,Fst,H3,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0070
0071,a2012,zT,B,T,,,21x30,breit,,,UoG,F,St,,,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0071
0072,a2011,B,,,,,21x30,breit,,,UoG,F,St,,,Fst,H2,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0072
0073,a2011,zT,B,G,,,21x30,breit,,,U,,,,,Fst,H3,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0073
0074,a2011,zT,Dd,G,,,21x30,breit,,,UoG,Ar,Sch,,,Fst,H3,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0074
0075,a2012,zT,Dd,G,,,21x30,breit,,,U,BiB,Sch,,,Fst,H2,grcf,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0075
0076,a2010,zT,Dd,G,,,21x30,breit,,,U,,,,,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0076
0077,a2012,Mt,Dd,B,G,,21x30,breit,,,U,Sch,,,,Fst,H1,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0077
0078,a2010,G,,,,,21x30,breit,,,UoG,F,St,,,Fst,H2,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0078
0079,a2013,zT,Dd,B,,,21x30,breit,,,U,,,,,Fst,H1,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0079
0080,a2012,Mt,Dd,G,C,B,21x30,breit,,,UnG,,,,,Fst,H3,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0080
0081,a2012,Mt,T,B,G,,21x30,breit,Gi,,U,,,,,Fst,H2,c,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0081
0082,a2011,zT,G,Dd,,,21x30,breit,,,UoG,F,St,,,Fst,H2,g,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0082
0083,a2010,Mt,B,G,Dd,,21x30,breit,,,U,Gi,,,,Fst,H1,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0083
